customer_id,customer_name,city,gender,age
1,Customer_1,Pune,Male,19
2,Customer_2,Pune,Female,33
3,Customer_3,Mumbai,Male,24
4,Customer_4,Pune,Male,55
5,Customer_5,Hyderabad,Male,19
6,Customer_6,Bangalore,Male,32
7,Customer_7,Chennai,Male,53
8,Customer_8,Mumbai,Female,32
9,Customer_9,Hyderabad,Female,18
10,Customer_10,Mumbai,Female,39
11,Customer_11,Delhi,Male,31
12,Customer_12,Delhi,Male,23
13,Customer_13,Hyderabad,Male,40
14,Customer_14,Delhi,Female,20
15,Customer_15,Pune,Female,52
16,Customer_16,Bangalore,Female,23
17,Customer_17,Chennai,Female,58
18,Customer_18,Chennai,Female,54
19,Customer_19,Mumbai,Male,20
20,Customer_20,Pune,Male,36
21,Customer_21,Bangalore,Male,24
22,Customer_22,Hyderabad,Female,47
23,Customer_23,Pune,Female,28
24,Customer_24,Delhi,Female,31
25,Customer_25,Pune,Female,59
26,Customer_26,Bangalore,Male,52
27,Customer_27,Pune,Male,28
28,Customer_28,Hyderabad,Female,35
29,Customer_29,Pune,Male,38
30,Customer_30,Bangalore,Male,20
31,Customer_31,Delhi,Female,35
32,Customer_32,Bangalore,Male,54
33,Customer_33,Pune,Female,31
34,Customer_34,Pune,Female,43
35,Customer_35,Pune,Female,27
36,Customer_36,Delhi,Male,33
37,Customer_37,Pune,Female,55
38,Customer_38,Hyderabad,Female,41
39,Customer_39,Mumbai,Male,50
40,Customer_40,Hyderabad,Male,21
41,Customer_41,Bangalore,Male,58
42,Customer_42,Mumbai,Female,56
43,Customer_43,Bangalore,Female,42
44,Customer_44,Chennai,Female,51
45,Customer_45,Delhi,Male,25
46,Customer_46,Pune,Female,59
47,Customer_47,Delhi,Male,36
48,Customer_48,Hyderabad,Male,47
49,Customer_49,Bangalore,Female,50
50,Customer_50,Mumbai,Male,58
51,Customer_51,Delhi,Male,27
52,Customer_52,Delhi,Male,52
53,Customer_53,Chennai,Male,56
54,Customer_54,Delhi,Female,19
55,Customer_55,Bangalore,Female,37
56,Customer_56,Mumbai,Male,33
57,Customer_57,Chennai,Male,23
58,Customer_58,Pune,Female,22
59,Customer_59,Chennai,Male,26
60,Customer_60,Pune,Female,53
61,Customer_61,Mumbai,Female,51
62,Customer_62,Chennai,Female,31
63,Customer_63,Chennai,Male,37
64,Customer_64,Hyderabad,Female,46
65,Customer_65,Chennai,Female,25
66,Customer_66,Mumbai,Male,22
67,Customer_67,Delhi,Male,55
68,Customer_68,Chennai,Male,55
69,Customer_69,Mumbai,Male,22
70,Customer_70,Pune,Male,32
71,Customer_71,Bangalore,Male,39
72,Customer_72,Bangalore,Male,35
73,Customer_73,Pune,Female,31
74,Customer_74,Chennai,Male,54
75,Customer_75,Chennai,Female,33
76,Customer_76,Hyderabad,Female,30
77,Customer_77,Bangalore,Male,60
78,Customer_78,Hyderabad,Female,45
79,Customer_79,Hyderabad,Female,21
80,Customer_80,Pune,Male,21
81,Customer_81,Hyderabad,Female,24
82,Customer_82,Mumbai,Male,30
83,Customer_83,Chennai,Female,26
84,Customer_84,Hyderabad,Male,35
85,Customer_85,Hyderabad,Male,22
86,Customer_86,Hyderabad,Male,21
87,Customer_87,Pune,Male,23
88,Customer_88,Mumbai,Male,44
89,Customer_89,Hyderabad,Female,31
90,Customer_90,Hyderabad,Male,28
91,Customer_91,Hyderabad,Male,42
92,Customer_92,Delhi,Female,36
93,Customer_93,Hyderabad,Female,27
94,Customer_94,Mumbai,Female,31
95,Customer_95,Bangalore,Male,38
96,Customer_96,Bangalore,Male,55
97,Customer_97,Hyderabad,Male,21
98,Customer_98,Chennai,Male,29
99,Customer_99,Bangalore,Male,33
100,Customer_100,Hyderabad,Male,54
