product_id,product_name,category,price
1,Product_1,Clothing,4842
2,Product_2,Books,425
3,Product_3,Books,771
4,Product_4,Sports,4881
5,Product_5,Books,4382
6,Product_6,Home,2236
7,Product_7,Clothing,2673
8,Product_8,Clothing,2275
9,Product_9,Sports,1172
10,Product_10,Home,3845
11,Product_11,Home,694
12,Product_12,Electronics,3854
13,Product_13,Books,4712
14,Product_14,Electronics,700
15,Product_15,Books,1846
16,Product_16,Books,2272
17,Product_17,Clothing,2959
18,Product_18,Electronics,2101
19,Product_19,Home,2434
20,Product_20,Clothing,3689
21,Product_21,Books,2578
22,Product_22,Books,4433
23,Product_23,Electronics,4643
24,Product_24,Home,948
25,Product_25,Clothing,2266
26,Product_26,Electronics,976
27,Product_27,Books,1373
28,Product_28,Home,2408
29,Product_29,Books,1825
30,Product_30,Home,1767
31,Product_31,Home,4240
32,Product_32,Sports,2157
33,Product_33,Electronics,856
34,Product_34,Sports,2366
35,Product_35,Electronics,129
36,Product_36,Home,1171
37,Product_37,Home,1423
38,Product_38,Sports,4619
39,Product_39,Sports,4694
40,Product_40,Electronics,1016
41,Product_41,Electronics,1321
42,Product_42,Books,395
43,Product_43,Home,4871
44,Product_44,Books,1313
45,Product_45,Sports,1144
46,Product_46,Electronics,2625
47,Product_47,Home,426
48,Product_48,Home,1820
49,Product_49,Clothing,942
50,Product_50,Home,4686
